e_rec,gammaFullNL,electronFullNL,positronFullNL
4.8500,4.740183,4.632410,4.794200
4.8600,4.749770,4.641979,4.803762
4.8700,4.759357,4.651583,4.813306
4.8800,4.768942,4.661152,4.822874
4.8900,4.778527,4.670746,4.832439
4.9000,4.788112,4.680326,4.842015
4.9100,4.797695,4.689896,4.851579
4.9200,4.807278,4.699501,4.861131
4.9300,4.816860,4.709072,4.870711
4.9400,4.826441,4.718670,4.880273
4.9500,4.836022,4.728249,4.889855
4.9600,4.845602,4.737821,4.899416
4.9700,4.855181,4.747428,4.908970
4.9800,4.864759,4.757000,4.918555
4.9900,4.874337,4.766601,4.928114
5.0000,4.883914,4.776180,4.937703
5.0100,4.893490,4.785754,4.947261
5.0200,4.903065,4.795362,4.956816
5.0300,4.912640,4.804936,4.966408
5.0400,4.922214,4.814541,4.975964
5.0500,4.931787,4.824119,4.985557
5.0600,4.941360,4.833694,4.995113
5.0700,4.950932,4.843304,5.004674
5.0800,4.960503,4.852879,5.014264
5.0900,4.970073,4.862487,5.023822
5.1000,4.979643,4.872066,5.033419
5.1100,4.989211,4.881642,5.042981
5.1200,4.998779,4.891253,5.052551
5.1300,5.008427,4.900830,5.062142
5.1400,5.018086,4.910441,5.071704
5.1500,5.027745,4.920020,5.081277
5.1600,5.037403,4.929598,5.090867
5.1700,5.047061,4.939211,5.100441
5.1800,5.056718,4.948789,5.110030
5.1900,5.066375,4.958402,5.119595
5.2000,5.076032,4.967982,5.129172
5.2100,5.085688,4.977562,5.138760
5.2200,5.095344,4.987175,5.148325
5.2300,5.104999,4.996756,5.157927
5.2400,5.114654,5.006366,5.167493
5.2500,5.124309,5.015940,5.177075
5.2600,5.133963,5.025517,5.186661
5.2700,5.143617,5.035124,5.196228
5.2800,5.153270,5.044699,5.205831
5.2900,5.162923,5.054308,5.215398
5.3000,5.172576,5.063884,5.224985
5.3100,5.182228,5.073463,5.234570
5.3200,5.191880,5.083070,5.244138
5.3300,5.201531,5.092647,5.253743
5.3400,5.211182,5.102258,5.263312
5.3500,5.220833,5.111835,5.272902
5.3600,5.230483,5.121417,5.282486
5.3700,5.240133,5.131024,5.292056
5.3800,5.249782,5.140602,5.301662
5.3900,5.259431,5.150215,5.311233
5.4000,5.269080,5.159794,5.320827
5.4100,5.278728,5.169379,5.330410
5.4200,5.288376,5.178986,5.339982
5.4300,5.298024,5.188565,5.349589
5.4400,5.307671,5.198180,5.359161
5.4500,5.317318,5.207760,5.368759
5.4600,5.326964,5.217347,5.378342
5.4700,5.336610,5.226955,5.387915
5.4800,5.346255,5.236536,5.397524
5.4900,5.355900,5.246152,5.407097
5.5000,5.365545,5.255733,5.416698
5.5100,5.375190,5.265323,5.426281
5.5200,5.384833,5.274931,5.435855
5.5300,5.394477,5.284514,5.445466
5.5400,5.404120,5.294131,5.455041
5.5500,5.413763,5.303714,5.464644
5.5600,5.423405,5.313306,5.474227
5.5700,5.433047,5.322915,5.483803
5.5800,5.442689,5.332499,5.493415
5.5900,5.452330,5.342118,5.502992
5.6000,5.461971,5.351702,5.512598
5.6100,5.471611,5.361296,5.522181
5.6200,5.481251,5.370906,5.531771
5.6300,5.490891,5.380492,5.541395
5.6400,5.500530,5.390112,5.550986
5.6500,5.510169,5.399698,5.560611
5.6600,5.519807,5.409293,5.570201
5.6700,5.529445,5.418905,5.579792
5.6800,5.539083,5.428492,5.589418
5.6900,5.548720,5.438113,5.599010
5.7000,5.558357,5.447701,5.608637
5.7100,5.567993,5.457297,5.618229
5.7200,5.577629,5.466911,5.627821
5.7300,5.587265,5.476499,5.637449
5.7400,5.596900,5.486122,5.647042
5.7500,5.606535,5.495711,5.656670
5.7600,5.616170,5.505307,5.666264
5.7700,5.625804,5.514921,5.675858
5.7800,5.635438,5.524509,5.685486
5.7900,5.645071,5.534132,5.695081
5.8000,5.654704,5.543721,5.704711
5.8100,5.664336,5.553318,5.714306
5.8200,5.673968,5.562934,5.723901
5.8300,5.683600,5.572524,5.733532
5.8400,5.693231,5.582148,5.743128
5.8500,5.702862,5.591738,5.752759
5.8600,5.712493,5.601336,5.762355
5.8700,5.722123,5.610954,5.771976
5.8800,5.731753,5.620545,5.781584
5.8900,5.741382,5.630171,5.791182
5.9000,5.751011,5.639762,5.800814
5.9100,5.760640,5.649361,5.810412
5.9200,5.770268,5.658981,5.820032
5.9300,5.779896,5.668573,5.829644
5.9400,5.789523,5.678201,5.839243
5.9500,5.799150,5.687794,5.848863
5.9600,5.808777,5.697393,5.858476
5.9700,5.818403,5.707015,5.868096
5.9800,5.828029,5.716609,5.877710
5.9900,5.837654,5.726238,5.887311
6.0000,5.847279,5.735832,5.896931
6.0100,5.856904,5.745432,5.906547
6.0200,5.866528,5.755056,5.916167
6.0300,5.876152,5.764652,5.925785
6.0400,5.885776,5.774282,5.935387
6.0500,5.895399,5.783878,5.945006
6.0600,5.905022,5.793478,5.954626
6.0700,5.914644,5.803105,5.964245
6.0800,5.924266,5.812702,5.973866
6.0900,5.933887,5.822333,5.983469
6.1000,5.943509,5.831931,5.993088
6.1100,5.953129,5.841530,6.002711
6.1200,5.962750,5.851161,6.012329
6.1300,5.972370,5.860759,6.021955
6.1400,5.981989,5.870392,6.031553
6.1500,5.991608,5.879991,6.041164
6.1600,6.001234,5.889590,6.050785
6.1700,6.010906,5.899223,6.060395
6.1800,6.020577,5.908823,6.070017
6.1900,6.030249,5.918456,6.079617
6.2000,6.039920,5.928058,6.089227
6.2100,6.049591,5.937658,6.098851
6.2200,6.059261,5.947293,6.108451
6.2300,6.068932,5.956894,6.118087
6.2400,6.078602,5.966526,6.127688
6.2500,6.088272,5.976132,6.137297
6.2600,6.097942,5.985734,6.146925
6.2700,6.107612,5.995370,6.156526
6.2800,6.117281,6.004976,6.166163
6.2900,6.126950,6.014612,6.175765
6.3000,6.136619,6.024226,6.185375
6.3100,6.146288,6.033835,6.195006
6.3200,6.155956,6.043478,6.204609
6.3300,6.165624,6.053088,6.214247
6.3400,6.175292,6.062722,6.223850
6.3500,6.184960,6.072342,6.233458
6.3600,6.194628,6.081952,6.243093
6.3700,6.204295,6.091596,6.252698
6.3800,6.213962,6.101207,6.262337
6.3900,6.223629,6.110840,6.271942
6.4000,6.233295,6.120464,6.281549
6.4100,6.242962,6.130075,6.291188
6.4200,6.252628,6.139721,6.300794
6.4300,6.262294,6.149334,6.310435
6.4400,6.271960,6.158964,6.320041
6.4500,6.281625,6.168593,6.329648
6.4600,6.291291,6.178206,6.339289
6.4700,6.300956,6.187853,6.348897
6.4800,6.310620,6.197467,6.358539
6.4900,6.320285,6.207095,6.368147
6.5000,6.329950,6.216729,6.377755
6.5100,6.339614,6.226343,6.387398
6.5200,6.349278,6.235992,6.397007
6.5300,6.358941,6.245607,6.406650
6.5400,6.368605,6.255232,6.416259
6.5500,6.378268,6.264872,6.425869
6.5600,6.387931,6.274487,6.435514
6.5700,6.397594,6.284137,6.445124
6.5800,6.407257,6.293754,6.454769
6.5900,6.416919,6.303377,6.464379
6.6000,6.426581,6.313021,6.474013
6.6100,6.436243,6.322639,6.483636
6.6200,6.445905,6.332290,6.493247
6.6300,6.455566,6.341908,6.502894
6.6400,6.465227,6.351528,6.512506
6.6500,6.474889,6.361178,6.522137
6.6600,6.484549,6.370797,6.531763
6.6700,6.494210,6.380448,6.541375
6.6800,6.503870,6.390068,6.551021
6.6900,6.513530,6.399688,6.560633
6.7000,6.523190,6.409341,6.570261
6.7100,6.532850,6.418961,6.579892
6.7200,6.542509,6.428609,6.589505
6.7300,6.552169,6.438236,6.599131
6.7400,6.561828,6.447857,6.608765
6.7500,6.571486,6.457512,6.618390
6.7600,6.581145,6.467133,6.628027
6.7700,6.590803,6.476778,6.637641
6.7800,6.600462,6.486410,6.647265
6.7900,6.610119,6.496032,6.656905
6.8000,6.619777,6.505688,6.666527
6.8100,6.629435,6.515311,6.676169
6.8200,6.639092,6.524952,6.685784
6.8300,6.648749,6.534591,6.695406
6.8400,6.658405,6.544215,6.705051
6.8500,6.668062,6.553872,6.714671
6.8600,6.677718,6.563496,6.724318
6.8700,6.687374,6.573134,6.733935
6.8800,6.697030,6.582779,6.743553
6.8900,6.706686,6.592404,6.753203
6.9000,6.716341,6.602063,6.762821
6.9100,6.725997,6.611688,6.772471
6.9200,6.735652,6.621322,6.782091
6.9300,6.745306,6.630973,6.791710
6.9400,6.754961,6.640600,6.801363
6.9500,6.764615,6.650260,6.810982
6.9600,6.774269,6.659887,6.820629
6.9700,6.783923,6.669516,6.830255
6.9800,6.793577,6.679174,6.839875
6.9900,6.803230,6.688802,6.849529
7.0000,6.812883,6.698462,6.859149
7.0100,6.822536,6.708092,6.868793
7.0200,6.832189,6.717720,6.878425
7.0300,6.841842,6.727382,6.888046
